name,text,image_url,local_image,origin,post_type,scheduled_time,last_updated,created
"Source: ZachMcCallister (Twitter)","7 ways to get more reviews for your product: https://t.co/4qzQj1Huhy via @alekspeterson https://t.co/1iXJe52agd",http://localhost/postradamus/backend/web/images/posts/446/4812/31599c7743938642f1127ac820d31eaa.jpg,31599c7743938642f1127ac820d31eaa.jpg,"CSV Import",None,"Jan 11 16 12:00 AM","Jan 20 16 02:40 PM","Jan 20 16 02:40 PM"
"Source: Amy Magsam (Pinterest)","Oh my! These Cinnamon Roll Pancakes look delish. There are directions for prep but not how to actually make them... I assume like regular pancakes but you swirl in the cinnamon on one side???

Please visit our website at www.food.com.ph",http://localhost/postradamus/backend/web/images/posts/446/4812/7cc78225a72c6c5581bbade96d114404.jpg,7cc78225a72c6c5581bbade96d114404.jpg,"CSV Import",None,"Jan 11 16 12:00 AM","Jan 20 16 02:40 PM","Jan 20 16 02:40 PM"
